id,company_name,address,city,state,zip,phone,email,website,organization_id,specialties,member_type,membership_length,certifications,nari_accredited_since,chapter,description,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
1,"HRS1042,LLC",2345 Pelham Pkwy,Pelham,Alabama,,(205) 858-1658,services@hrsbham.com,https://hrsbham.com/,12713951,"Additions, Basement Remodeling, Baths, Deck Contractor, Kitchens/Baths, Remodeling Contractor, Renovation, Residential Remodeling, Room Additions, Siding Contractor",Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.893760+00:00,20260326_071257,4a7322921f3faea586e6ce47046e3e39,2026-03-25 23:02:34,2026-03-26 07:17:26,0
2,"Wells Remodeling, LLC dba Dixieland ReBath",4675 Appaloosa Dr,Irondale,Alabama,,(205) 623-3080,andrew@rebath5dk.com,http://www.alabamarebath.com,12622962,"Contractor, Kitchens/Baths, Remodeling Contractor, Universal Design Remodeler",Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.893760+00:00,20260326_071257,779a325dbda0b37ad3945fee6b5612e1,2026-03-25 23:02:34,2026-03-26 07:17:26,0
3,"TraVek, Inc.",7661 E Gray Rd,Scottsdale,Arizona,,(480) 367-1171,susan@travek.com,http://www.travek.com,12534830,"Contractor, Flooring Contractor, Green Remodeler, Kitchens/Baths, Remodeling Contractor, Restoration, Roofing Contractor, Tile Contractor, Universal Design Remodeler",Remodeler,,,,,NARI Accredited since 2019.,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,43ccb7c624df921d03ee13d8180a3ccd,2026-03-25 23:02:34,2026-03-26 07:17:26,0
4,Ardan Construction LLC,9375 E Shea Blvd Ste 109C,Scottsdale,Arizona,,(602) 614-0771,danny@ardanllc.com,http://www.ardanconstruction.com,12670223,"Baths, Cabinet Installer, Cabinets - Refacing, Kitchens, Restoration, Siding Contractor, Tile Contractor, Universal Design Remodeler, Windows",Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,bf53257db41620f36f942710fef91e6b,2026-03-25 23:02:34,2026-03-26 07:17:26,0
5,Homework Remodels,4105 N 20th St Ste 210,Phoenix,Arizona,,(602) 478-5102,steve@homeworkremodels.com,http://www.homeworkRemodels.com,12571590,"Contractor, Design/Build, Green Remodeler, Home Performance Diagnostics, Kitchens/Baths, Remodeling Contractor, Restoration, Universal Design Remodeler, Windows/Doors",Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,1b745176ddf28c7ab04d6547a7f9a640,2026-03-25 23:02:34,2026-03-26 07:17:26,0
6,Kirk Development Company,340 E Caron St,Phoenix,Arizona,,(602) 944-3658,designbuild@kirkdevco.com,http://www.kirkdevco.com,88229,"Deck Contractor, Insulation Contractor, Kitchens/Baths, Remodeling Contractor, Restoration, Tile Contractor, Universal Design Remodeler, Windows/Doors",Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,3d1bb1032330154b7feafadf5208bc3b,2026-03-25 23:02:34,2026-03-26 07:17:26,0
7,Red Mountain Renewal,8175 E Evans Rd Unit 15125,Scottsdale,Arizona,,(480) 276-3447,tom@redmountainrenewal.com,http://www.redmountainrenewal.com,12557622,"Baths, Cabinets, Contractor, Countertops, Flooring Contractor, Green Remodeler, Kitchens/Baths, Residential Remodeling, Tile Contractor, Universal Design Remodeler",Specialty Contractor,,,,,Whole House Interior Remodeling,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,83738c974ec7aae5d57e53c4cf97500a,2026-03-25 23:02:34,2026-03-26 07:17:26,0
8,Rosie Right Design Build Remodel,6949 E Shea Blvd # 120,Scottsdale,Arizona,,(480) 248-8699,info@rosieright.com,http://www.rosieright.com,12699889,"Architectural Design, Design/Build, Kitchens/Baths, Outdoor Living/Kitchens, Residential Remodeling, Room Additions, Universal Design Remodeler",Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,398ea14af5da578281cf2a4325224b54,2026-03-25 23:02:34,2026-03-26 07:17:26,0
9,Todd Whittaker Drywall Inc.,2400 W Union Hills Dr Ste 110,Phoenix,Arizona,,(623) 544-1211,tawhittaker@twdaz.com,http://www.twdaz.com,12627568,"Cabinet Installer, Design/Build, Drywall, Kitchens/Baths, Painting, Remodeling Contractor, Stucco, Tile Contractor, Universal Design Remodeler, Windows/Doors",Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,494a00fc2a6d934e957ef5150618cd2e,2026-03-25 23:02:34,2026-03-26 07:17:26,0
10,"Advanced Development & Building Services, LLC",8924 E Pinnacle Peak Rd Ste G5 PMB 514,Scottsdale,Arizona,,(602) 753-0863,info@advbld.com,http://www.advbld.com,12693013,,Remodeler,,,,,,nari_remodelers,https://remodelingdoneright.nari.org/find-a-remodeler-search/,2026-03-26T07:17:25.894760+00:00,20260326_071257,65f4b7a93e42c88865e98112bd100261,2026-03-25 23:02:34,2026-03-26 07:17:26,0
